SampleID,Layer,Component,Quantity,,,,,,,,,
TOYOTA 1C4 (S2),1,BC 4117,13.3,,,,,,,,,
TOYOTA 1C4 (S2),1,BC 4517,6.6,,,,,,,,,
TOYOTA 1C4 (S2),1,BC 4014,3.5,,,,,,,,,
TOYOTA 1C4 (S2),1,BC 4010,3.3,,,,,,,,,
TOYOTA 1C4 (S2),1,BC 4510,2.7,,,,,,,,,
TOYOTA 1C4 (S2),1,BC 4060,0.9,,,,,,,,,
TOYOTA 1C4 (S2),1,BC 4519,0.9,,,,,,,,,
TOYOTA 1C4 (S2),1,BC 4110,6.5,,,,,,,,,
TOYOTA 1C7 (S1),1,BC 4002,3.1,,,,,,,,,
TOYOTA 1C7 (S1),1,BC 4025,30.2,,,,,,,,,
TOYOTA 1C7 (S1),1,BC 4985,16.8,,,,,,,,,
TOYOTA 1C7 (S1),1,BC 4519,16.3,,,,,,,,,
TOYOTA 1C7 (S1),1,BC 4966,8.4,,,,,,,,,
TOYOTA 1C7 (S1),1,BC 4010,7.2,,,,,,,,,
TOYOTA 1C7 (S1),1,BC 4117,6.5,,,,,,,,,
TOYOTA 1C7 (S1),1,BC 4517,3.4,,,,,,,,,
TOYOTA 1C7 (S1),1,BC 4202,2.7,,,,,,,,,
TOYOTA 1C7 (S1),1,BC 4084,0.2,,,,,,,,,
TOYOTA 1C7 (S1),1,BC 4110,5.2,,,,,,,,,
TOYOTA 1C7 (S2),1,BC 4002,3.6,,,,,,,,,
TOYOTA 1C7 (S2),1,BC 4025,32.2,,,,,,,,,
TOYOTA 1C7 (S2),1,BC 4519,17.8,,,,,,,,,
TOYOTA 1C7 (S2),1,BC 4117,10.8,,,,,,,,,
TOYOTA 1C7 (S2),1,BC 4985,9.5,,,,,,,,,
TOYOTA 1C7 (S2),1,BC 4966,9.1,,,,,,,,,
TOYOTA 1C7 (S2),1,BC 4202,4.1,,,,,,,,,
TOYOTA 1C7 (S2),1,BC 4010,3.6,,,,,,,,,
TOYOTA 1C7 (S2),1,BC 4517,3.5,,,,,,,,,
TOYOTA 1C7 (S2),1,BC 4640,0.2,,,,,,,,,
TOYOTA 1C7 (S2),1,BC 4110,5.6,,,,,,,,,
TOYOTA 1A2 (S2),1,BC 4002,3.3,,,,,,,,,
TOYOTA 1A2 (S2),1,BC 4025,39.9,,,,,,,,,
TOYOTA 1A2 (S2),1,BC 4014,15.4,,,,,,,,,
TOYOTA 1A2 (S2),1,BC 4117,13,,,,,,,,,
TOYOTA 1A2 (S2),1,BC 4202,11.4,,,,,,,,,
TOYOTA 1A2 (S2),1,BC 4517,3.6,,,,,,,,,
TOYOTA 1A2 (S2),1,BC 4985,3.3,,,,,,,,,
TOYOTA 1A2 (S2),1,BC 4080,3,,,,,,,,,
TOYOTA 1A2 (S2),1,BC 4510,2.8,,,,,,,,,
TOYOTA 1A2 (S2),1,BC 4082,0.3,,,,,,,,,
TOYOTA 1A2 (S2),1,BC 4110,4,,,,,,,,,
TOYOTA 074 (S1),1,BC 4002,3.6,,,,,,,,,
TOYOTA 074 (S1),1,BC 4019,78.1,,,,,,,,,
TOYOTA 074 (S1),1,BC 4025,8.6,,,,,,,,,
TOYOTA 074 (S1),1,BC 4560,7.3,,,,,,,,,
TOYOTA 074 (S1),1,BC 4202,1.7,,,,,,,,,
TOYOTA 074 (S1),1,BC 4580,0.7,,,,,,,,,
TOYOTA 074 (S1),2,BC 4002,6.1,,,,,,,,,
TOYOTA 074 (S1),2,BC 4010,42.4,,,,,,,,,
TOYOTA 074 (S1),2,BC 4811,20.3,,,,,,,,,
TOYOTA 074 (S1),2,BC 4111,17,,,,,,,,,
TOYOTA 074 (S1),2,BC 4960,5.7,,,,,,,,,
TOYOTA 074 (S1),2,XB 4091,5.7,,,,,,,,,
TOYOTA 074 (S1),2,BC 4980,2.8,,,,,,,,,
TOYOTA 4R3 (S1),1,BC 4002,4.2,,,,,,,,,
TOYOTA 4R3 (S1),1,BC 4517,44.9,,,,,,,,,
TOYOTA 4R3 (S1),1,BC 4117,28.3,,,,,,,,,
TOYOTA 4R3 (S1),1,BC 4954,7.5,,,,,,,,,
TOYOTA 4R3 (S1),1,BC 4519,5.7,,,,,,,,,
TOYOTA 4R3 (S1),1,BC 4080,4.2,,,,,,,,,
TOYOTA 4R3 (S1),1,BC 4202,2.4,,,,,,,,,
