SampleID,Layer,Component,Quantity,,,,,,,,,
RANGE ROVER 698 (S1),1,BC 4060,14.5,,,,,,,,,
RANGE ROVER 698 (S1),1,BC 4640,14.3,,,,,,,,,
RANGE ROVER 698 (S1),1,BC 4202,13.9,,,,,,,,,
RANGE ROVER 698 (S1),1,BC 4014,11.6,,,,,,,,,
RANGE ROVER 698 (S1),1,BC 4084,3.6,,,,,,,,,
RANGE ROVER 698 (S1),1,BC 4561,0.6,,,,,,,,,
RANGE ROVER 698 (S2),1,BC 4002,5,,,,,,,,,
RANGE ROVER 698 (S2),1,BC 4025,23.5,,,,,,,,,
RANGE ROVER 698 (S2),1,BC 4202,15.1,,,,,,,,,
RANGE ROVER 698 (S2),1,BC 4934,11.7,,,,,,,,,
RANGE ROVER 698 (S2),1,BC 4811,9.9,,,,,,,,,
RANGE ROVER 698 (S2),1,BC 4640,9.7,,,,,,,,,
RANGE ROVER 698 (S2),1,BC 4010,8.7,,,,,,,,,
RANGE ROVER 698 (S2),1,BC 4014,8.6,,,,,,,,,
RANGE ROVER 698 (S2),1,BC 4117,7.8,,,,,,,,,
RANGE ROVER 642 (S1),1,BC 4002,5,,,,,,,,,
RANGE ROVER 642 (S1),1,BC 4014,82.9,,,,,,,,,
RANGE ROVER 642 (S1),1,BC 4510,3.7,,,,,,,,,
RANGE ROVER 642 (S1),1,BC 4080,1.6,,,,,,,,,
RANGE ROVER 642 (S1),1,BC 4084,0.2,,,,,,,,,
RANGE ROVER 642 (S1),1,BC 4110,6.6,,,,,,,,,
RANGE ROVER 642 (S2),1,BC 4002,5.1,,,,,,,,,
RANGE ROVER 642 (S2),1,BC 4014,85.2,,,,,,,,,
RANGE ROVER 642 (S2),1,BC 4510,4,,,,,,,,,
RANGE ROVER 642 (S2),1,BC 4080,1.8,,,,,,,,,
RANGE ROVER 642 (S2),1,BC 4110,3.9,,,,,,,,,
RANGE ROVER 624 (S3),1,BC 4002,3.9,,,,,,,,,
RANGE ROVER 624 (S3),1,BC 4041,31.6,,,,,,,,,
RANGE ROVER 624 (S3),1,BC 4202,18.4,,,,,,,,,
RANGE ROVER 624 (S3),1,BC 4050,12.5,,,,,,,,,
RANGE ROVER 624 (S3),1,BC 4014,11.8,,,,,,,,,
RANGE ROVER 624 (S3),1,BC 4640,7.9,,,,,,,,,
RANGE ROVER 624 (S3),1,BC 4517,4.1,,,,,,,,,
RANGE ROVER 624 (S3),1,BC 4519,3.4,,,,,,,,,
RANGE ROVER 624 (S3),1,BC 4025,3.4,,,,,,,,,
RANGE ROVER 624 (S3),1,BC 4117,2.1,,,,,,,,,
RANGE ROVER 624 (S3),1,BC 4080,0.9,,,,,,,,,
SUZUKI ZWJ (S1),1,BC 4002,5.8,,,,,,,,,
SUZUKI ZWJ (S1),1,BC 4526,47.4,,,,,,,,,
SUZUKI ZWJ (S1),1,BC 4061,17.9,,,,,,,,,
SUZUKI ZWJ (S1),1,BC 4019,10,,,,,,,,,
SUZUKI ZWJ (S1),1,BC 4117,7.3,,,,,,,,,
SUZUKI ZWJ (S1),1,BC 4051,7.3,,,,,,,,,
SUZUKI ZWJ (S1),1,BC 4561,1.7,,,,,,,,,
SUZUKI ZWJ (S1),1,BC 4025,1.3,,,,,,,,,
SUZUKI ZWJ (S1),1,BC 4202,1.3,,,,,,,,,
SUZUKI ZZE (S1),1,BC 4002,5.2,,,,,,,,,
SUZUKI ZZE (S1),1,BC 4966,21.3,,,,,,,,,
SUZUKI ZZE (S1),1,BC 4061,18.9,,,,,,,,,
SUZUKI ZZE (S1),1,BC 4010,15.8,,,,,,,,,
SUZUKI ZZE (S1),1,BC 4162,10.4,,,,,,,,,
SUZUKI ZZE (S1),1,BC 4920,8.7,,,,,,,,,
SUZUKI ZZE (S1),1,BC 4517,6.8,,,,,,,,,
SUZUKI ZZE (S1),1,BC 4511,6.6,,,,,,,,,
SUZUKI ZZE (S1),1,BC 4519,2.8,,,,,,,,,
SUZUKI ZZE (S1),1,BC 4110,3.5,,,,,,,,,
SUZUKI ZYK (S1),1,BC 4002,5.1,,,,,,,,,
SUZUKI ZYK (S1),1,BC 4966,18.5,,,,,,,,,
SUZUKI ZYK (S1),1,BC 4061,18.3,,,,,,,,,
SUZUKI ZYK (S1),1,BC 4517,15.8,,,,,,,,,
SUZUKI ZYK (S1),1,BC 4010,14,,,,,,,,,
SUZUKI ZYK (S1),1,BC 4526,10.9,,,,,,,,,
SUZUKI ZYK (S1),1,BC 4510,8.8,,,,,,,,,
SUZUKI ZYK (S1),1,BC 4162,4.6,,,,,,,,,
SUZUKI ZYK (S1),1,BC 4980,2.8,,,,,,,,,
SUZUKI ZYK (S1),1,BC 4920,1.2,,,,,,,,,
MAZDA 34J (S1),1,BC 4002,6.2,,,,,,,,,
MAZDA 34J (S1),1,BC 4811,35.6,,,,,,,,,
MAZDA 34J (S1),1,BC 4640,34.8,,,,,,,,,
MAZDA 34J (S1),1,BC 4084,19.6,,,,,,,,,
MAZDA 34J (S1),1,BC 4934,2.1,,,,,,,,,
MAZDA 34J (S1),1,BC 4117,1.4,,,,,,,,,
MAZDA 34J (S1),1,BC 4202,0.3,,,,,,,,,
MAZDA 36B (S1),1,BC 4002,2.9,,,,,,,,,
MAZDA 36B (S1),1,BC 4966,32.1,,,,,,,,,
MAZDA 36B (S1),1,BC 4084,21,,,,,,,,,
MAZDA 36B (S1),1,BC 4962,12.5,,,,,,,,,
MAZDA 36B (S1),1,BC 4082,10.3,,,,,,,,,
MAZDA 36B (S1),1,BC 4010,6.4,,,,,,,,,
MAZDA 36B (S1),1,BC 4681,5.4,,,,,,,,,
MAZDA 36B (S1),1,BC 4012,4.9,,,,,,,,,
MAZDA 36B (S1),1,BC 4080,2,,,,,,,,,
MAZDA 36B (S1),1,BC 4110,2.5,,,,,,,,,
MAZDA 35M (S1),1,BC 4002,3.5,,,,,,,,,
MAZDA 35M (S1),1,BC 4962,40,,,,,,,,,
MAZDA 35M (S1),1,BC 4517,33.2,,,,,,,,,
MAZDA 35M (S1),1,BC 4010,10,,,,,,,,,
MAZDA 35M (S1),1,BC 4519,6.7,,,,,,,,,
MAZDA 35M (S1),1,BC 4060,1,,,,,,,,,
MAZDA 35M (S1),1,BC 4202,0.8,,,,,,,,,
MAZDA 35M (S1),1,BC 4080,0.5,,,,,,,,,
MAZDA 35M (S1),1,BC 4110,4.3,,,,,,,,,
MAZDA 33V (S1),1,BC 4002,4.9,,,,,,,,,
MAZDA 33V (S1),1,BC 4517,66.2,,,,,,,,,
MAZDA 33V (S1),1,BC 4014,8.6,,,,,,,,,
MAZDA 33V (S1),1,BC 4117,4.2,,,,,,,,,
MAZDA 33V (S1),1,BC 4162,3.9,,,,,,,,,
MAZDA 33V (S1),1,BC 4519,3.4,,,,,,,,,
MAZDA 33V (S1),1,BC 4051,2.2,,,,,,,,,
MAZDA 33V (S1),1,BC 4580,1.2,,,,,,,,,
MAZDA 33V (S1),1,BC 4110,5.4,,,,,,,,,
MAZDA 32J (S1),1,BC 4517,48.7,,,,,,,,,
MAZDA 32J (S1),1,BC 4811,12.9,,,,,,,,,
MAZDA 32J (S1),1,BC 4117,11.9,,,,,,,,,
MAZDA 32J (S1),1,BC 4934,8.3,,,,,,,,,
MAZDA 32J (S1),1,BC 4030,6,,,,,,,,,
MAZDA 32J (S1),1,BC 4025,5,,,,,,,,,
MAZDA 32J (S1),1,BC 4640,2.9,,,,,,,,,
MAZDA 36L (S1),1,BC 4002,4.1,,,,,,,,,
MAZDA 36L (S1),1,BC 4517,57.1,,,,,,,,,
MAZDA 36L (S1),1,BC 4518,20.2,,,,,,,,,
MAZDA 36L (S1),1,BC 4014,9.6,,,,,,,,,
MAZDA 36L (S1),1,BC 4519,3.3,,,,,,,,,
MAZDA 36L (S1),1,BC 4030,1.9,,,,,,,,,
MAZDA 36L (S1),1,BC 4188,1.5,,,,,,,,,
MAZDA 36L (S1),1,BC 4640,1.3,,,,,,,,,
MAZDA 36L (S1),1,BC 4202,1,,,,,,,,,
MAZDA 36Y (S1),1,BC 4002,7.2,,,,,,,,,
MAZDA 36Y (S1),1,BC 4580,60.3,,,,,,,,,
MAZDA 36Y (S1),1,BC 4188,30.2,,,,,,,,,
MAZDA 36Y (S1),1,BC 4019,2.3,,,,,,,,,
MAZDA 36Y (S1),2,BC 4002,3.9,,,,,,,,,
MAZDA 36Y (S1),2,XB 4581,38.9,,,,,,,,,
MAZDA 36Y (S1),2,BC 4582,22.7,,,,,,,,,
MAZDA 36Y (S1),2,BC 4283,20.5,,,,,,,,,
MAZDA 36Y (S1),2,BC 4082,5.4,,,,,,,,,
MAZDA 36Y (S1),2,BC 4084,4.1,,,,,,,,,
MAZDA 36Y (S1),2,BC 4920,0.5,,,,,,,,,
MAZDA 36Y (S1),2,BC 4110,4,,,,,,,,,
MAZDA 37B (S1),1,BC 4002,3.4,,,,,,,,,
MAZDA 37B (S1),1,BC 4047,23.9,,,,,,,,,
MAZDA 37B (S1),1,XB 4704,23.7,,,,,,,,,
MAZDA 37B (S1),1,BC 4202,19.7,,,,,,,,,
MAZDA 37B (S1),1,BC 4640,12.1,,,,,,,,,
MAZDA 37B (S1),1,BC 4010,8.4,,,,,,,,,
MAZDA 37B (S1),1,BC 4934,5,,,,,,,,,
MAZDA 37B (S1),1,BC 4110,3.8,,,,,,,,,
MAZDA 38J (S1),1,BC 4002,4.3,,,,,,,,,
MAZDA 38J (S1),1,BC 4041,43.1,,,,,,,,,
MAZDA 38J (S1),1,BC 4526,15.7,,,,,,,,,
MAZDA 38J (S1),1,BC 4010,10.1,,,,,,,,,
MAZDA 38J (S1),1,BC 4117,9.1,,,,,,,,,
MAZDA 38J (S1),1,BC 4954,8,,,,,,,,,
MAZDA 38J (S1),1,BC 4014,7.4,,,,,,,,,
MAZDA 38J (S1),1,BC 4517,2.3,,,,,,,,,
MAZDA 38K (S1),1,BC 4002,5.6,,,,,,,,,
MAZDA 38K (S1),1,BC 4440,25.7,,,,,,,,,
MAZDA 38K (S1),1,XB 4704,21.7,,,,,,,,,
MAZDA 38K (S1),1,BC 4010,19.6,,,,,,,,,
MAZDA 38K (S1),1,BC 4934,9.4,,,,,,,,,
MAZDA 38K (S1),1,BC 4030,6.8,,,,,,,,,
MAZDA 38K (S1),1,BC 4202,6,,,,,,,,,
MAZDA 38K (S1),1,BC 4640,5.2,,,,,,,,,
MAZDA 38N (S1),1,BC 4002,5.2,,,,,,,,,
MAZDA 38N (S1),1,BC 4517,59.5,,,,,,,,,
MAZDA 38N (S1),1,BC 4117,16.2,,,,,,,,,
MAZDA 38N (S1),1,BC 4061,10.5,,,,,,,,,
MAZDA 38N (S1),1,BC 4519,4.9,,,,,,,,,
MAZDA 38N (S1),1,BC 4080,1.7,,,,,,,,,
MAZDA 38N (S1),1,BC 4580,0.4,,,,,,,,,
MAZDA 38N (S1),1,BC 4110,1.6,,,,,,,,,
MAZDA 39X (S1),1,BC 4002,4.7,,,,,,,,,
MAZDA 39X (S1),1,BC 4517,59.6,,,,,,,,,
MAZDA 39X (S1),1,BC 4117,19.6,,,,,,,,,
MAZDA 39X (S1),1,BC 4510,6.4,,,,,,,,,
MAZDA 39X (S1),1,BC 4025,3.6,,,,,,,,,
MAZDA 39X (S1),1,BC 4050,0.2,,,,,,,,,
MAZDA 39X (S1),1,BC 4110,5.9,,,,,,,,,
MAZDA 40F (S1),1,BC 4002,4.1,,,,,,,,,
MAZDA 40F (S1),1,BC 4084,37.4,,,,,,,,,
MAZDA 40F (S1),1,XB 4581,28.1,,,,,,,,,
MAZDA 40F (S1),1,BC 4082,18.7,,,,,,,,,
MAZDA 40F (S1),1,BC 4202,3,,,,,,,,,
MAZDA 40F (S1),1,BC 4080,1.7,,,,,,,,,
MAZDA 40F (S1),1,BC 4110,7,,,,,,,,,
MAZDA 41B (S1),1,BC 4002,5.1,,,,,,,,,
MAZDA 41B (S1),1,BC 4041,43.9,,,,,,,,,
MAZDA 41B (S1),1,BC 4954,12.4,,,,,,,,,
MAZDA 41B (S1),1,BC 4010,12.2,,,,,,,,,
MAZDA 41B (S1),1,XB 4704,11.7,,,,,,,,,
MAZDA 41B (S1),1,BC 4117,5.9,,,,,,,,,
MAZDA 41B (S1),1,BC 4640,5.8,,,,,,,,,
MAZDA 41B (S1),1,BC 4084,1,,,,,,,,,
MAZDA 41B (S1),1,BC 4517,0.6,,,,,,,,,
MAZDA 41B (S1),1,BC 4202,0.6,,,,,,,,,
MAZDA 41B (S1),1,BC 4110,0.8,,,,,,,,,
MAZDA 41N (S1),1,BC 4002,3.9,,,,,,,,,
MAZDA 41N (S1),1,BC 4283,28.4,,,,,,,,,
MAZDA 41N (S1),1,XB 4581,13.7,,,,,,,,,
MAZDA 41N (S1),1,BC 4082,12.9,,,,,,,,,
MAZDA 41N (S1),1,BC 4010,12.6,,,,,,,,,
MAZDA 41N (S1),1,BC 4681,12,,,,,,,,,
MAZDA 41N (S1),1,BC 4511,10.3,,,,,,,,,
MAZDA 41N (S1),1,BC 4110,6.2,,,,,,,,,
MAZDA 41N (S1),2,BC 4002,8.1,,,,,,,,,
MAZDA 41N (S1),2,BC 4010,82.6,,,,,,,,,
MAZDA 41N (S1),2,BC 4082,9.3,,,,,,,,,
SUZUKI ZQS (S1),1,BC 4002,4.3,,,,,,,,,
SUZUKI ZQS (S1),1,BC 4517,31.3,,,,,,,,,
SUZUKI ZQS (S1),1,BC 4018,25.8,,,,,,,,,
SUZUKI ZQS (S1),1,BC 4202,11.3,,,,,,,,,
SUZUKI ZQS (S1),1,BC 4025,8.5,,,,,,,,,
SUZUKI ZQS (S1),1,BC 4117,7.3,,,,,,,,,
SUZUKI ZQS (S1),1,BC 4980,4.7,,,,,,,,,
SUZUKI ZQS (S1),1,BC 4510,4.2,,,,,,,,,
SUZUKI ZQS (S1),1,BC 4047,1.9,,,,,,,,,
SUZUKI ZQS (S1),1,BC 4030,0.7,,,,,,,,,
SUZUKI ZZK (S1),1,BC 4002,5.5,,,,,,,,,
SUZUKI ZZK (S1),1,BC 4526,31.8,,,,,,,,,
SUZUKI ZZK (S1),1,BC 4202,18.6,,,,,,,,,
SUZUKI ZZK (S1),1,BC 4966,12.2,,,,,,,,,
SUZUKI ZZK (S1),1,BC 4080,11.5,,,,,,,,,
SUZUKI ZZK (S1),1,BC 4010,8.2,,,,,,,,,
SUZUKI ZZK (S1),1,BC 4061,5.9,,,,,,,,,
SUZUKI ZZK (S1),1,BC 4580,2,,,,,,,,,
SUZUKI ZZK (S1),1,BC 4050,1.5,,,,,,,,,
SUZUKI ZZK (S1),1,BC 4110,2.8,,,,,,,,,
SUZUKI ZQA (S1),1,BC 4002,5.5,,,,,,,,,
SUZUKI ZQA (S1),1,BC 4640,36.9,,,,,,,,,
SUZUKI ZQA (S1),1,BC 4117,22.6,,,,,,,,,
SUZUKI ZQA (S1),1,BC 4440,9.5,,,,,,,,,
SUZUKI ZQA (S1),1,BC 4517,6.2,,,,,,,,,
SUZUKI ZQA (S1),1,BC 4018,5,,,,,,,,,
SUZUKI ZQA (S1),1,BC 4580,4.1,,,,,,,,,
SUZUKI ZQA (S1),1,BC 4030,3.6,,,,,,,,,
SUZUKI ZQA (S1),1,BC 4920,3.3,,,,,,,,,
SUZUKI ZQA (S1),1,BC 4047,3.3,,,,,,,,,
SUZUKI ZTT (S1),1,BC 4002,3.9,,,,,,,,,
SUZUKI ZTT (S1),1,BC 4202,89.2,,,,,,,,,
SUZUKI ZTT (S1),1,BC 4010,4.5,,,,,,,,,
SUZUKI ZTT (S1),1,BC 4640,1.9,,,,,,,,,
SUZUKI ZTT (S1),1,XB 4091,0.5,,,,,,,,,
SUZUKI ZWR (S1),1,BC 4002,3.9,,,,,,,,,
SUZUKI ZWR (S1),1,BC 4640,26.1,,,,,,,,,
SUZUKI ZWR (S1),1,BC 4041,21.8,,,,,,,,,
SUZUKI ZWR (S1),1,BC 4111,15.6,,,,,,,,,
SUZUKI ZWR (S1),1,BC 4517,15.3,,,,,,,,,
SUZUKI ZWR (S1),1,BC 4202,8.9,,,,,,,,,
SUZUKI ZWR (S1),1,BC 4811,5.5,,,,,,,,,
SUZUKI ZWR (S1),1,BC 4110,2.9,,,,,,,,,
SUZUKI ZQT (S1),1,BC 4002,3.6,,,,,,,,,
SUZUKI ZQT (S1),1,XB 4091,38.9,,,,,,,,,
SUZUKI ZQT (S1),1,BC 4047,22.7,,,,,,,,,
SUZUKI ZQT (S1),1,BC 4517,11.3,,,,,,,,,
SUZUKI ZQT (S1),1,BC 4188,5.7,,,,,,,,,
SUZUKI ZQT (S1),1,BC 4510,5.3,,,,,,,,,
SUZUKI ZQT (S1),1,BC 4934,4.9,,,,,,,,,
SUZUKI ZQT (S1),1,BC 4030,4.4,,,,,,,,,
SUZUKI ZQT (S1),1,BC 4440,1.6,,,,,,,,,
SUZUKI ZQT (S1),1,BC 4041,1.6,,,,,,,,,
SUZUKI ZZL (S1),1,BC 4002,5.7,,,,,,,,,
SUZUKI ZZL (S1),1,BC 4117,28.9,,,,,,,,,
SUZUKI ZZL (S1),1,BC 4202,28.4,,,,,,,,,
SUZUKI ZZL (S1),1,BC 4510,19.6,,,,,,,,,
SUZUKI ZZL (S1),1,BC 4051,7.8,,,,,,,,,
SUZUKI ZZL (S1),1,BC 4080,6.5,,,,,,,,,
SUZUKI ZZL (S1),1,BC 4014,2.6,,,,,,,,,
SUZUKI ZZL (S1),1,BC 4561,0.5,,,,,,,,,
SUZUKI ZZG (S1),1,BC 4002,6.4,,,,,,,,,
SUZUKI ZZG (S1),1,BC 4517,45.5,,,,,,,,,
SUZUKI ZZG (S1),1,BC 4047,14.2,,,,,,,,,
SUZUKI ZZG (S1),1,BC 4117,11.8,,,,,,,,,
SUZUKI ZZG (S1),1,BC 4041,7.3,,,,,,,,,
SUZUKI ZZG (S1),1,BC 4510,5.9,,,,,,,,,
SUZUKI ZZG (S1),1,BC 4084,2.8,,,,,,,,,
SUZUKI ZZG (S1),1,BC 4202,2.8,,,,,,,,,
SUZUKI ZZG (S1),1,BC 4110,3.3,,,,,,,,,
SUZUKI ZZS (S1),1,BC 4002,5.7,,,,,,,,,
SUZUKI ZZS (S1),1,BC 4440,55.2,,,,,,,,,
SUZUKI ZZS (S1),1,BC 4019,26.1,,,,,,,,,
SUZUKI ZZS (S1),1,BC 4041,5.2,,,,,,,,,
SUZUKI ZZS (S1),1,BC 4047,5.2,,,,,,,,,
SUZUKI ZZS (S1),1,BC 4117,1.8,,,,,,,,,
SUZUKI ZZS (S1),1,BC 4561,0.8,,,,,,,,,
SUZUKI WAA (S1),1,BC 4002,5.1,,,,,,,,,
SUZUKI WAA (S1),1,XB 4581,34.1,,,,,,,,,
SUZUKI WAA (S1),1,BC 4283,23.8,,,,,,,,,
SUZUKI WAA (S1),1,BC 4681,18,,,,,,,,,
SUZUKI WAA (S1),1,BC 4081,11.7,,,,,,,,,
SUZUKI WAA (S1),1,BC 4082,6.1,,,,,,,,,
SUZUKI WAA (S1),1,BC 4110,1.2,,,,,,,,,
SUZUKI ZYS (S1),1,BC 4002,5.4,,,,,,,,,
SUZUKI ZYS (S1),1,BC 4517,49.7,,,,,,,,,
SUZUKI ZYS (S1),1,BC 4202,13.5,,,,,,,,,
SUZUKI ZYS (S1),1,BC 4051,12,,,,,,,,,
SUZUKI ZYS (S1),1,BC 4060,7.4,,,,,,,,,
SUZUKI ZYS (S1),1,BC 4526,7.2,,,,,,,,,
SUZUKI ZYS (S1),1,BC 4050,2.4,,,,,,,,,
SUZUKI ZYS (S1),1,BC 4110,2.4,,,,,,,,,
SUZUKI ZZW (S1),1,BC 4002,5.7,,,,,,,,,
SUZUKI ZZW (S1),1,BC 4117,38.7,,,,,,,,,
SUZUKI ZZW (S1),1,BC 4202,25.7,,,,,,,,,
SUZUKI ZZW (S1),1,BC 4080,9.5,,,,,,,,,
SUZUKI ZZW (S1),1,BC 4510,7.3,,,,,,,,,
SUZUKI ZZW (S1),1,BC 4082,6.1,,,,,,,,,
SUZUKI ZZW (S1),1,BC 4074,2.7,,,,,,,,,
SUZUKI ZZW (S1),1,BC 4640,1.6,,,,,,,,,
SUZUKI ZZW (S1),1,BC 4110,2.7,,,,,,,,,
KIA 4SW (S1),1,BC 4002,4.7,,,,,,,,,
KIA 4SW (S1),1,BC 4082,39.8,,,,,,,,,
KIA 4SW (S1),1,BC 4511,11.3,,,,,,,,,
KIA 4SW (S1),1,BC 4084,6.3,,,,,,,,,
KIA 4SW (S1),1,XB 4581,6.1,,,,,,,,,
KIA 4SW (S1),1,XB 4107,4,,,,,,,,,
KIA 4SW (S1),1,BC 4202,2.6,,,,,,,,,
KIA 4SW (S1),1,BC 4519,0.8,,,,,,,,,
KIA 4SW (S1),1,BC 4110,24.4,,,,,,,,,
KIA BY2 (S1),1,BC 4002,4.1,,,,,,,,,
KIA BY2 (S1),1,BC 4526,32.8,,,,,,,,,
KIA BY2 (S1),1,BC 4010,14,,,,,,,,,
KIA BY2 (S1),1,XB 4605,12.6,,,,,,,,,
KIA BY2 (S1),1,XB 4107,12.6,,,,,,,,,
KIA BY2 (S1),1,BC 4162,7.7,,,,,,,,,
KIA BY2 (S1),1,BC 4517,6.1,,,,,,,,,
KIA BY2 (S1),1,BC 4202,5.9,,,,,,,,,
KIA BY2 (S1),1,BC 4082,2.3,,,,,,,,,
KIA BY2 (S1),1,BC 4519,1.9,,,,,,,,,
HYUNDAI WR3 (S1),1,BC 4002,4.5,,,,,,,,,
HYUNDAI WR3 (S1),1,BC 4283,43.6,,,,,,,,,
HYUNDAI WR3 (S1),1,XB 4107,13.8,,,,,,,,,
HYUNDAI WR3 (S1),1,BC 4582,11.6,,,,,,,,,
HYUNDAI WR3 (S1),1,BC 4010,10.2,,,,,,,,,
HYUNDAI WR3 (S1),1,BC 4973,10.2,,,,,,,,,
HYUNDAI WR3 (S1),1,BC 4934,3.7,,,,,,,,,
HYUNDAI WR3 (S1),1,BC 4080,1.8,,,,,,,,,
HYUNDAI WR3 (S1),1,BC 4162,0.6,,,,,,,,,
HYUNDAI XU9 (S1),1,BC 4002,6.5,,,,,,,,,
HYUNDAI XU9 (S1),1,BC 4440,22.8,,,,,,,,,
HYUNDAI XU9 (S1),1,BC 4202,14,,,,,,,,,
HYUNDAI XU9 (S1),1,BC 4117,13.8,,,,,,,,,
HYUNDAI XU9 (S1),1,XB 4705,9.5,,,,,,,,,
HYUNDAI XU9 (S1),1,BC 4010,7,,,,,,,,,
HYUNDAI XU9 (S1),1,BC 4517,6.8,,,,,,,,,
HYUNDAI XU9 (S1),1,BC 4510,5.5,,,,,,,,,
HYUNDAI XU9 (S1),1,BC 4519,2.8,,,,,,,,,
HYUNDAI XU9 (S1),1,BC 4934,2.5,,,,,,,,,
HYUNDAI XU9 (S1),1,BC 4110,8.8,,,,,,,,,
HYUNDAI WS8 (S1),1,BC 4002,5.1,,,,,,,,,
HYUNDAI WS8 (S1),1,BC 4202,28.1,,,,,,,,,
HYUNDAI WS8 (S1),1,BC 4974,20.9,,,,,,,,,
HYUNDAI WS8 (S1),1,BC 4010,15.8,,,,,,,,,
HYUNDAI WS8 (S1),1,BC 4017,12.3,,,,,,,,,
HYUNDAI WS8 (S1),1,BC 4510,5,,,,,,,,,
HYUNDAI WS8 (S1),1,BC 4080,4.2,,,,,,,,,
HYUNDAI WS8 (S1),1,BC 4110,8.6,,,,,,,,,
MAZDA 4F (S1),1,BC 4002,5.5,,,,,,,,,
MAZDA 4F (S1),1,BC 4014,62.7,,,,,,,,,
MAZDA 4F (S1),1,BC 4117,13.3,,,,,,,,,
MAZDA 4F (S1),1,BC 4517,3.3,,,,,,,,,
MAZDA 4F (S1),1,BC 4080,3.2,,,,,,,,,
MAZDA 4F (S1),1,BC 4934,2.7,,,,,,,,,
MAZDA 4F (S1),1,BC 4019,2.3,,,,,,,,,
MAZDA 4F (S1),1,BC 4580,1.2,,,,,,,,,
MAZDA 4F (S1),1,BC 4110,5.8,,,,,,,,,
MAZDA 4Y (S1),1,BC 4002,4.7,,,,,,,,,
MAZDA 4Y (S1),1,BC 4047,27.2,,,,,,,,,
MAZDA 4Y (S1),1,BC 4025,17.4,,,,,,,,,
MAZDA 4Y (S1),1,BC 4117,13.1,,,,,,,,,
MAZDA 4Y (S1),1,BC 4014,13.1,,,,,,,,,
MAZDA 4Y (S1),1,BC 4030,6.3,,,,,,,,,
MAZDA 4Y (S1),1,BC 4510,4.3,,,,,,,,,
MAZDA 4Y (S1),1,BC 4517,3.2,,,,,,,,,
MAZDA 4Y (S1),1,BC 4084,2.3,,,,,,,,,
MAZDA 4Y (S1),1,BC 4110,8.4,,,,,,,,,
MAZDA 4Z (S1),1,BC 4002,4,,,,,,,,,
MAZDA 4Z (S1),1,BC 4017,43.7,,,,,,,,,
MAZDA 4Z (S1),1,BC 4026,26.2,,,,,,,,,
MAZDA 4Z (S1),1,BC 4517,8.7,,,,,,,,,
MAZDA 4Z (S1),1,BC 4025,8.2,,,,,,,,,
MAZDA 4Z (S1),1,BC 4510,3.3,,,,,,,,,
MAZDA 4Z (S1),1,BC 4111,2.7,,,,,,,,,
MAZDA 4Z (S1),1,BC 4162,0.4,,,,,,,,,
MAZDA 4Z (S1),1,BC 4202,0.2,,,,,,,,,
MAZDA 4Z (S1),1,BC 4110,2.6,,,,,,,,,
MAZDA FL (S1),1,BC 4002,4.2,,,,,,,,,
MAZDA FL (S1),1,BC 4082,35.7,,,,,,,,,
MAZDA FL (S1),1,BC 4511,30.5,,,,,,,,,
MAZDA FL (S1),1,BC 4582,15.8,,,,,,,,,
MAZDA FL (S1),1,BC 4080,3.6,,,,,,,,,
MAZDA FL (S1),1,BC 4526,2.9,,,,,,,,,
MAZDA FL (S1),1,BC 4110,7.3,,,,,,,,,
MAZDA 44A (S1),1,BC 4002,4.3,,,,,,,,,
MAZDA 44A (S1),1,BC 4517,50.8,,,,,,,,,
MAZDA 44A (S1),1,BC 4014,15.7,,,,,,,,,
MAZDA 44A (S1),1,BC 4519,8.2,,,,,,,,,
MAZDA 44A (S1),1,BC 4051,6.2,,,,,,,,,
MAZDA 44A (S1),1,BC 4510,4,,,,,,,,,
MAZDA 44A (S1),1,BC 4560,3,,,,,,,,,
MAZDA 44A (S1),1,BC 4041,1,,,,,,,,,
MAZDA 44A (S1),1,BC 4110,6.8,,,,,,,,,
MAZDA 43H (S1),1,BC 4002,6.7,,,,,,,,,
MAZDA 43H (S1),1,BC 4580,60.7,,,,,,,,,
MAZDA 43H (S1),1,BC 4188,30.3,,,,,,,,,
MAZDA 43H (S1),1,BC 4019,2.3,,,,,,,,,
MAZDA 43H (S1),2,BC 4002,4.9,,,,,,,,,
MAZDA 43H (S1),2,BC 4283,36.1,,,,,,,,,
MAZDA 43H (S1),2,BC 4511,19.4,,,,,,,,,
MAZDA 43H (S1),2,XB 4581,12.8,,,,,,,,,
MAZDA 43H (S1),2,BC 4074,9.9,,,,,,,,,
MAZDA 43H (S1),2,BC 4510,8,,,,,,,,,
MAZDA 43H (S1),2,BC 4082,5.4,,,,,,,,,
MAZDA 43H (S1),2,BC 4985,2.9,,,,,,,,,
MAZDA 43H (S1),2,BC 4202,0.6,,,,,,,,,
MAZDA 42M (S1),1,BC 4002,5,,,,,,,,,
MAZDA 42M (S1),1,BC 4202,44.9,,,,,,,,,
MAZDA 42M (S1),1,XB 4704,24.1,,,,,,,,,
MAZDA 42M (S1),1,BC 4010,11.2,,,,,,,,,
MAZDA 42M (S1),1,BC 4811,5.4,,,,,,,,,
MAZDA 42M (S1),1,XB 4091,4.5,,,,,,,,,
MAZDA 42M (S1),1,BC 4030,0.9,,,,,,,,,
MAZDA 42M (S1),1,BC 4110,4,,,,,,,,,
