SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Edition,Bucket,Database,Tag_Coarseness,
MAZDA 14L (S2)-LS,MAZDA,14L,OXFORD WHITE,1995-1999,2,CAMPAIGN MEASUREMENT,NA,
MAZDA WY (S1)-LS,MAZDA,WY,NOBLE WHITE,1986-1994,2,CAMPAIGN MEASUREMENT,NA,
MAZDA WY (S2)-LS,MAZDA,WY,NOBLE WHITE,1986-1994,2,CAMPAIGN MEASUREMENT,NA,
MAZDA A4D (S1)-LS,MAZDA,A4D,ARCTIC WHITE,2002-2020,2,CAMPAIGN MEASUREMENT,NA,
MAZDA A4D (S2)-LS,MAZDA,A4D,ARCTIC WHITE,2002-2020,2,CAMPAIGN MEASUREMENT,NA,
MERCEDES 7187 (S1)-LS,MERCEDES,7187,LKW GRAU,1978-2020,2,CAMPAIGN MEASUREMENT,NA,
MAZDA A3D (S1)-LS,MAZDA,A3D,PURE WHITE,1998-2006,2,CAMPAIGN MEASUREMENT,NA,
MAZDA A2N (S1)-LS,MAZDA,A2N,GLACIER WHITE,1997-2011,2,CAMPAIGN MEASUREMENT,NA,
MAZDA A2N (S2)-LS,MAZDA,A2N,GLACIER WHITE,1997-2011,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 040 (S1)-LS,TOYOTA,040,SUPER WHITE 2,1984-2020,2,CAMPAIGN MEASUREMENT,NA,
MERCEDES 147 (S1)-LS,MERCEDES,147,ARKTIKWEISS,1984-2020,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 045 (S1)-LS,TOYOTA,045,GLACIAL WHITE,1988-2004,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 045 (S2)-LS,TOYOTA,045,GLACIAL WHITE,1988-2004,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 040 (S2)-LS,TOYOTA,040,SUPER WHITE 2,1984-2020,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 048 (S1)-LS,TOYOTA,048,WHITE,1988-2002,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 058 (S1)-LS,TOYOTA,058,WHITE,1997-2019,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 056 (S1)-LS,TOYOTA,056,WHITE,1995-2010,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 056 (S2)-LS,TOYOTA,056,WHITE,1995-2010,2,CAMPAIGN MEASUREMENT,NA,
MAZDA A5Y (S1)-LS,MAZDA,A5Y,FROZEN WHITE,2006-2008,2,CAMPAIGN MEASUREMENT,NA,
MAZDA A5Y (S2)-LS,MAZDA,A5Y,FROZEN WHITE,2006-2008,2,CAMPAIGN MEASUREMENT,NA,
MAZDA A7A (S1)-LS,MAZDA,A7A,WHITE SUEDE,2009-2011,2,CAMPAIGN MEASUREMENT,NA,
MAZDA HC (S1)-LS,MAZDA,HC,NEO WHITE,1987-1992,2,CAMPAIGN MEASUREMENT,NA,
MAZDA HS (S1)-LS,MAZDA,HS,CYGNUS WHITE,1992-1995,2,CAMPAIGN MEASUREMENT,NA,
MAZDA HS (S2)-LS,MAZDA,HS,CYGNUS WHITE,1992-1995,2,CAMPAIGN MEASUREMENT,NA,
MAZDA UA (S1)-LS,MAZDA,UA,CAMEO WHITE,1992-1995,2,CAMPAIGN MEASUREMENT,NA,
