SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness
HYUNDAI WC9 (S1),HYUNDAI,WC9,HYPER WHITE PEARL,Fine
TOYOTA 089 (S1),TOYOTA,089,PLATINUM WHITE PEARL,Medium
ALFA ROMEO 214B (S1),ALFA ROMEO,214B,BIANCO,Fine
ALFA ROMEO 319B (S1),ALFA ROMEO,319B,GRIGIO ANTRACITE MET,Coarse
ALFA ROMEO 361B (S1),ALFA ROMEO,361B,ROSSO COMPETIZIONE PEARL,Medium
ALFA ROMEO 463C (S1),ALFA ROMEO,463C,DARK GREEN PEARL,Medium
ALFA ROMEO 466B (S1),ALFA ROMEO,466B,BLU PROFONDO MET,Medium
LANCIA 506 (S1),LANCIA,506,PERLA BRUNELLESCHI MET,Coarse
LANCIA 507A (S1),LANCIA,507A,GIALLO CASORATI,Fine
ALFA ROMEO 566A (S1),ALFA ROMEO,566A,GRIGIO VESUVIO MET,Medium
ALFA ROMEO 567A (S1),ALFA ROMEO,567A,BLU OLTREMARE PERL,Fine
FIAT 687B (S1),FIAT,687B,BLU DIPINTO DI BLU PEARL,Coarse
FIAT 690A (S1),FIAT,690A,GRIGIO RISERVATO MET,Medium
FIAT 692A (S1),FIAT,692A,CINZA SCANDIUM MET,Medium
ALFA ROMEO 693 (S1),ALFA ROMEO,693,AZZURRO LE CASTELLET MET,Medium
FIAT 697A (S1),FIAT,697A,GRIGIO CONCENTRATO MET,Coarse
FIAT 698A (S1),FIAT,698A,GRIGIO SOFISTICATO MET,Medium
LANCIA 732A (S1),LANCIA,732A,VERDE DONIZETTI MICA,Coarse
FIAT 737A (S1),FIAT,737A,AZZURRO ACQUA CHETA MET,Medium
FIAT 742 (S1),FIAT,742,MARRONE SELVAGGIO MET,Coarse
ALFA ROMEO 745 (S1),ALFA ROMEO,745,VERDE CRISTALLO MET,Fine
FIAT 752A (S1),FIAT,752A,VERDE CATANIA MET,Fine
ALFA ROMEO 756A (S1),ALFA ROMEO,756A,BLU MISANO PEARL,Medium
FIAT 760A (S1),FIAT,760A,BIANCO RADIOSO MET,Fine
FIAT 783A (S1),FIAT,783A,SABBIA ESOTICO MET,Fine
FIAT 792A (S1),FIAT,792A,AZZURRO SETTIMO CIELO MET,Medium
FIAT 795A (S1),FIAT,795A,VERDE OPALE MET,Fine
FIAT 798A (S1),FIAT,798A,AZZURRO ASTRO MET,Medium
FIAT 803A (S1),FIAT,803A,NERO SETA MET,Coarse
FIAT 804A (S1),FIAT,804A,AZZURRO ASTRALE MET,Fine
FIAT 805B (S1),FIAT,805B,NERO INTREPIDO MET,Medium
FIAT 807A (S1),FIAT,807A,PRETO VESUVIO,Extra Coarse
ALFA ROMEO 814A (S1),ALFA ROMEO,814A,NERO VULCANO MET,Coarse
ALFA ROMEO 821A (S1),ALFA ROMEO,821A,NERO FUOCO MET,Coarse
FIAT 841A (S1),FIAT,841A,NERO MOIRE MET,Coarse
FIAT 845A (S1),FIAT,845A,BLU ENIGMATICO MICA,Coarse
FIAT 865B (S1),FIAT,865B,GRIGIO CALDO MET,Coarse
FIAT 866B (S1),FIAT,866B,BORDEAUX OPERA PERL,Medium
FIAT 876B (S1),FIAT,876B,NERO SCORPIONE MET,Medium
FIAT 890B (S1),FIAT,890B,BLU SOGNANTE MET,Medium
FIAT 891B (S1),FIAT,891B,NERO PROVOCATORE MET,Medium
ALFA ROMEO 895A (S1),ALFA ROMEO,895A,BLU CASUAL MET,Coarse
ALFA ROMEO 917A (S1),ALFA ROMEO,917A,AZZURRO POLIZIA,Fine
ALFA ROMEO 022A (S1),ALFA ROMEO,022A,GRIGIO FINANZA,Fine
ALFA ROMEO 115B (S1),ALFA ROMEO,115B,ROSSO COMPETIZIONE MET,Fine
ALFA ROMEO 148A (S1),ALFA ROMEO,148A,ROSSO ALFA MET,Medium
ALFA ROMEO 216A (S1),ALFA ROMEO,216A,BIANCO MADREPERLA MET,Fine
ALFA ROMEO 217B (S1),ALFA ROMEO,217B,BIANCO ALFA,#N/A
FIAT 394B (S1),FIAT,394B,BRONZO SCURO PEARL,Coarse
ALFA ROMEO 424B (S1),ALFA ROMEO,424B,NERO AMETISTA PEARL,Medium
