SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness,
AUDI LE9D (S1)-LS,AUDI,LE9D,BRANCO GLACIAL,NA,
RAL 1000 (S1)-LS,RAL,1000,GRUENBEIGE,NA,
RAL 1001 (S1)-LS,RAL,1001,BEIGE,NA,
RAL 1002 (S1)-LS,RAL,1002,SANDGELB,NA,
RAL 1003 (S1)-LS,RAL,1003,SIGNALGELB,NA,
RAL 1004 (S1)-LS,RAL,1004,GOLDGELB,NA,
RAL 1005 (S1)-LS,RAL,1005,HONIGGELB,NA,
RAL 1006 (S1)-LS,RAL,1006,MAISGELB,NA,
RAL 1007 (S1)-LS,RAL,1007,NARZISSENGELB,NA,
RAL 1011 (S1)-LS,RAL,1011,BRAUNBEIGE,NA,
RAL 1012 (S1)-LS,RAL,1012,ZITRONENGELB,NA,
RAL 1013 (S1)-LS,RAL,1013,PERLWEISS,NA,
RAL 1014 (S1)-LS,RAL,1014,ELFENBEIN,NA,
RAL 1015 (S1)-LS,RAL,1015,HELLELFENBEIN,NA,
RAL 1016 (S1)-LS,RAL,1016,SCHWEFELGELB,NA,
RAL 1017 (S1)-LS,RAL,1017,SAFRANGELB,NA,
RAL 1018 (S1)-LS,RAL,1018,ZINKGELB,NA,
RAL 1019 (S1)-LS,RAL,1019,GRAUBEIGE,NA,
RAL 1020 (S1)-LS,RAL,1020,OLIVGELB,NA,
RAL 1021 (S1)-LS,RAL,1021,RAPSGELB,NA,
RAL 1023 (S1)-LS,RAL,1023,VERKEHRSGELB,NA,
RAL 1024 (S1)-LS,RAL,1024,OCKERGELB,NA,
RAL 1027 (S1)-LS,RAL,1027,CURRYGELB,NA,
RAL 1033 (S1)-LS,RAL,1033,DALIENGELB,NA,
RAL 1034 (S1)-LS,RAL,1034,PASTELLGELB,NA,
RAL 2000 (S1)-LS,RAL,2000,GELBORANGE,NA,
RAL 2001 (S1)-LS,RAL,2001,ROTORANGE,NA,
RAL 2002 (S1)-LS,RAL,2002,BLUTORANGE,NA,
RAL 2003 (S1)-LS,RAL,2003,PASTELLORANGE,NA,
RAL 2004 (S1)-LS,RAL,2004,REINORANGE,NA,
RAL 2006 (S1)-LS,RAL,2006,REFLEX ORANGE,NA,
RAL 2008 (S1)-LS,RAL,2008,HELLROTORANGE,NA,
RAL 2009 (S1)-LS,RAL,2009,VERKEHRSORANGE,NA,
RAL 2010 (S1)-LS,RAL,2010,SIGNALORANGE,NA,
RAL 2011 (S1)-LS,RAL,2011,TIEFORANGE,NA,
RAL 2012 (S1)-LS,RAL,2012,LACHSORANGE,NA,
RAL 3000 (S1)-LS,RAL,2013,FEUERROT,NA,
RAL 3001 (S1)-LS,RAL,3001,SIGNALROT,NA,
RAL 3002 (S1)-LS,RAL,3002,KARMINROT,NA,
RAL 3003 (S1)-LS,RAL,3003,RUBINROT,NA,
RAL 3004 (S1)-LS,RAL,3004,PURPURROT,NA,
RAL 3005 (S1)-LS,RAL,3005,WEINROT,NA,
RAL 3007 (S1)-LS,RAL,3007,SCHWARZROT,NA,
RAL 3009 (S1)-LS,RAL,3009,OXIDROT,NA,
RAL 3011 (S1)-LS,RAL,3011,BRAUNROT,NA,
RAL 3012 (S1)-LS,RAL,3012,BEIGEROT,NA,
RAL 3013 (S1)-LS,RAL,3013,TOMATENROT,NA,
RAL 3014 (S1)-LS,RAL,3014,ALTROSA,NA,
RAL 3015 (S1)-LS,RAL,3015,HELLROSA,NA,
RAL 3016 (S1)-LS,RAL,3016,KORALLENROT,NA,
RAL 3017 (S1)-LS,RAL,3017,ROSE,NA,
RAL 3018 (S1)-LS,RAL,3018,ERDBEERROT,NA,
RAL 3020 (S1)-LS,RAL,3020,VERKEHRSROT,NA,
RAL 3022 (S1)-LS,RAL,3022,LACHSROT,NA,
RAL 3027 (S1)-LS,RAL,3027,HIMBEERROT,NA,
RAL 3031 (S1)-LS,RAL,3031,ORIENTROT,NA,
RAL 4001 (S1)-LS,RAL,4001,ROTLILA,NA,
RAL 4002 (S1)-LS,RAL,4002,ROTVIOLETT,NA,
RAL 4003 (S1)-LS,RAL,4003,ERIKAVIOLETT,NA,
RAL 4004 (S1)-LS,RAL,4004,BORDEAUXVIOLETT,NA,
RAL 4005 (S1)-LS,RAL,4005,BLAULILA,NA,
RAL 4006 (S1)-LS,RAL,4006,VERKEHRSPURPUR,NA,
RAL 4007 (S1)-LS,RAL,4007,PURPURVIOLETT,NA,
RAL 4008 (S1)-LS,RAL,4008,SIGNALVIOLETT,NA,
RAL 4009 (S1)-LS,RAL,4009,PASTELLVIOLETT,NA,
RAL 4010 (S1)-LS,RAL,4010,MAGENTA,NA,
RAL 5000 (S1)-LS,RAL,5000,VIOLETTBLAU,NA,
RAL 5001 (S1)-LS,RAL,5001,GRUENBLAU,NA,
RAL 5003 (S1)-LS,RAL,5003,SAPHIRBLAU,NA,
RAL 5004 (S1)-LS,RAL,5004,SCHWARZBLAU,NA,
RAL 5005 (S1)-LS,RAL,5005,SIGNALBLAU,NA,
RAL 5007 (S1)-LS,RAL,5007,BRILLANTBLAU,NA,
RAL 5008 (S1)-LS,RAL,5008,GRAUBLAU,NA,
RAL 5009 (S1)-LS,RAL,5009,AZURBLAU,NA,
RAL 5010 (S1)-LS,RAL,5010,ENZIANBLAU,NA,
RAL 5011 (S1)-LS,RAL,5011,STAHLBLAU,NA,
RAL 5012 (S1)-LS,RAL,5012,LICHTBLAU,NA,
RAL 5013 (S1)-LS,RAL,5013,KOBALTBLAU,NA,
RAL 5014 (S1)-LS,RAL,5014,TAUBENBLAU,NA,
RAL 5015 (S1)-LS,RAL,5015,HIMMELBLAU,NA,
RAL 5017 (S1)-LS,RAL,5017,VERKEHRSBLAU,NA,
RAL 5018 (S1)-LS,RAL,5018,TUERKISBLAU,NA,
RAL 5019 (S1)-LS,RAL,5019,CAPRIBLAU,NA,
RAL 5020 (S1)-LS,RAL,5020,OZEANBLAU,NA,
RAL 5021 (S1)-LS,RAL,5021,WASSERBLAU,NA,
RAL 5022 (S1)-LS,RAL,5022,NACHTBLAU,NA,
RAL 5023 (S1)-LS,RAL,5023,FERNBLAU,NA,
RAL 5024 (S1)-LS,RAL,5024,PASTELLBLAU,NA,
RAL 6000 (S1)-LS,RAL,6000,PATINAGRUEN,NA,
RAL 6001 (S1)-LS,RAL,6001,SMARAGDGRUEN,NA,
RAL 6002 (S1)-LS,RAL,6002,LAUBGRUEN,NA,
RAL 6003 (S1)-LS,RAL,6003,OLIVGRUEN,NA,
RAL 6004 (S1)-LS,RAL,6004,BLAUGRUEN,NA,
RAL 6005 (S1)-LS,RAL,6005,MOOSGRUEN,NA,
RAL 6006 (S1)-LS,RAL,6006,GRAUOLIV,NA,
RAL 6007 (S1)-LS,RAL,6007,FLASCHENGRUEN,NA,
RAL 6008 (S1)-LS,RAL,6008,BRAUNGRUEN,NA,
RAL 6009 (S1)-LS,RAL,6009,TANNENGRUEN,NA,
RAL 6010 (S1)-LS,RAL,6010,GRASGRUEN,NA,
RAL 6011 (S1)-LS,RAL,6011,RESEDAGRUEN,NA,
RAL 6012 (S1)-LS,RAL,6012,SCHWARZGRUEN,NA,
RAL 6013 (S1)-LS,RAL,6013,SCHILFGRUEN,NA,
RAL 6014 (S1)-LS,RAL,6014,GELBOLIV,NA,
RAL 6015 (S1)-LS,RAL,6015,SCHWARZOLIV,NA,
RAL 6016 (S1)-LS,RAL,6016,TUERKISGRUEN,NA,
RAL 6017 (S1)-LS,RAL,6017,MAIGRUEN,NA,
RAL 6018 (S1)-LS,RAL,6018,GELBGRUEN,NA,
RAL 6019 (S1)-LS,RAL,6019,WEISSGRUEN,NA,
RAL 6020 (S1)-LS,RAL,6020,CHROMOXIDGRUEN,NA,
RAL 6021 (S1)-LS,RAL,6021,BLASSGRUEN,NA,
RAL 6022 (S1)-LS,RAL,6022,BRAUNOLIV,NA,
RAL 6024 (S1)-LS,RAL,6024,VERKEHRSGRUEN,NA,
RAL 6025 (S1)-LS,RAL,6025,FARNGRUEN,NA,
RAL 6026 (S1)-LS,RAL,6026,OPALGRUEN,NA,
RAL 6027 (S1)-LS,RAL,6027,LICHTGRUEN,NA,
RAL 6028 (S1)-LS,RAL,6028,KIEFERNGRUEN,NA,
RAL 6029 (S1)-LS,RAL,6029,MINZGRUEN,NA,
RAL 6032 (S1)-LS,RAL,6032,SIGNALGRUEN,NA,
RAL 6033 (S1)-LS,RAL,6033,MINTTUERKIS,NA,
RAL 6034 (S1)-LS,RAL,6034,PASTELLTUERKIS,NA,
RAL 7000 (S1)-LS,RAL,7000,FEHGRAU,NA,
RAL 7001 (S1)-LS,RAL,7001,SILBERGRAU,NA,
RAL 7002 (S1)-LS,RAL,7002,OLIVGRAU,NA,
RAL 7003 (S1)-LS,RAL,7003,MOOSGRAU,NA,
RAL 7004 (S1)-LS,RAL,7004,SIGNALGRAU,NA,
RAL 7005 (S1)-LS,RAL,7005,MAUSGRAU,NA,
RAL 7006 (S1)-LS,RAL,7006,BEIGEGRAU,NA,
RAL 7008 (S1)-LS,RAL,7008,KHAKIGRAU,NA,
RAL 7009 (S1)-LS,RAL,7009,GRUENGRAU,NA,
RAL 7010 (S1)-LS,RAL,7010,ZELTGRAU,NA,
RAL 7011 (S1)-LS,RAL,7011,EISENGRAU,NA,
RAL 7012 (S1)-LS,RAL,7012,BASALTGRAU,NA,
RAL 7013 (S1)-LS,RAL,7013,BRAUNGRAU,NA,
RAL 7015 (S1)-LS,RAL,7015,SCHIEFERGRAU,NA,
RAL 7016 (S1)-LS,RAL,7016,ANTHRAZITGRAU,NA,
RAL 7021 (S1)-LS,RAL,7021,SCHWARZGRAU,NA,
RAL 7022 (S1)-LS,RAL,7022,UMBRAGRAU,NA,
RAL 7023 (S1)-LS,RAL,7023,BETONGRAU,NA,
RAL 7024 (S1)-LS,RAL,7024,GRAPHITGRAU,NA,
RAL 7026 (S1)-LS,RAL,7026,GRANITGRAU,NA,
RAL 7030 (S1)-LS,RAL,7030,STEINGRAU,NA,
RAL 7031 (S1)-LS,RAL,7031,BLAUGRAU,NA,
RAL 7032 (S1)-LS,RAL,7032,KIESELGRAU,NA,
RAL 7033 (S1)-LS,RAL,7033,ZEMENTGRAU,NA,
RAL 7034 (S1)-LS,RAL,7034,GELBGRAU,NA,
RAL 7035 (S1)-LS,RAL,7035,LICHTGRAU,NA,
RAL 7036 (S1)-LS,RAL,7036,PLATINGRAU,NA,
RAL 7037 (S1)-LS,RAL,7037,STAUBGRAU,NA,
RAL 7038 (S1)-LS,RAL,7038,ACHATGRAU,NA,
RAL 7039 (S1)-LS,RAL,7039,QUARZGRAU,NA,
RAL 7042 (S1)-LS,RAL,7042,VERKEHRSGRAU A,NA,
RAL 7043 (S1)-LS,RAL,7043,VERKEHRSGRAU B,NA,
RAL 7044 (S1)-LS,RAL,7044,SEIDENGRAU,NA,
RAL 7045 (S1)-LS,RAL,7045,TELEGRAU 1,NA,
RAL 7046 (S1)-LS,RAL,7046,TELEGRAU 2,NA,
RAL 7047 (S1)-LS,RAL,7047,TELEGRAU 4,NA,
RAL 8000 (S1)-LS,RAL,8000,GRUENBRAUN,NA,
RAL 8001 (S1)-LS,RAL,8001,OCKERBRAUN,NA,
RAL 8002 (S1)-LS,RAL,8002,SIGNALBRAUN,NA,
RAL 8003 (S1)-LS,RAL,8003,LEHMBRAUN,NA,
RAL 8004 (S1)-LS,RAL,8004,KUPFERBRAUN,NA,
RAL 8007 (S1)-LS,RAL,8007,REHBRAUN,NA,
RAL 8008 (S1)-LS,RAL,8008,OLIVBRAUN,NA,
RAL 8011 (S1)-LS,RAL,8011,NUSSBRAUN,NA,
RAL 8012 (S1)-LS,RAL,8012,ROTBRAUN,NA,
RAL 8014 (S1)-LS,RAL,8014,SEPIABRAUN,NA,
RAL 8015 (S1)-LS,RAL,8015,KASTANIENBRAUN,NA,
RAL 8016 (S1)-LS,RAL,8016,MAHAGONIBRAUN,NA,
RAL 8017 (S1)-LS,RAL,8017,SCHOKOLADENBRAUN,NA,
RAL 8019 (S1)-LS,RAL,8019,GRAUBRAUN,NA,
RAL 8022 (S1)-LS,RAL,8022,SCHWARZBRAUN,NA,
RAL 8023 (S1)-LS,RAL,8023,ORANGEBRAUN,NA,
RAL 8024 (S1)-LS,RAL,8024,BEIGEBRAUN,NA,
RAL 8025 (S1)-LS,RAL,8025,BLASSBRAUN,NA,
RAL 8028 (S1)-LS,RAL,8028,TERRABRAUN,NA,
RAL 9001 (S1)-LS,RAL,9001,CREMEWEISS,NA,
RAL 9002 (S1)-LS,RAL,9002,GRAUWEISS,NA,
RAL 9003 (S1)-LS,RAL,9003,SIGNALWEISS,NA,
RAL 9004 (S1)-LS,RAL,9004,SIGNALSCHWARZ,NA,
RAL 9005 (S1)-LS,RAL,9005,TIEFSCHWARZ,NA,
RAL 9010 (S1)-LS,RAL,9010,REINWEISS,NA,
RAL 9011 (S1)-LS,RAL,9011,GRAPHITSCHWARZ,NA,
RAL 9017 (S1)-LS,RAL,9017,VERKEHRSSCHWARZ,NA,
RAL 9018 (S1)-LS,RAL,9018,PAPYRUSWEISS,NA,
RAL 1028 (S1)-LS,RAL,1028,MELONENGELB,NA,
RENAULT 389 (S1)-LS,RENAULT,389,BLANC GLACIER,NA,
DAEWOO 10L (S4)-LS,DAEWOO,10L,CASABLANCA WHITE,NA,
PEUGEOT ELA (S1)-LS,PEUGEOT,ELA,BLEU D'ARABIE,NA,
PEUGEOT ELA (S2)-LS,PEUGEOT,ELA,BLEU D'ARABIE,NA,
PEUGEOT EJC (S1)-LS,PEUGEOT,EJC,BORDEAUX NICOLAS,NA,
PEUGEOT KQD (S1)-LS,PEUGEOT,KQD,VERT ALEP,NA,
PEUGEOT EHD (S1)-LS,PEUGEOT,EHD,ORANGE TENERE,NA,
PEUGEOT EHE (S1)-LS,PEUGEOT,EHE,ORANGE EUROPCAR,NA,
PEUGEOT EHK (S1)-LS,PEUGEOT,EHK,ORANGE TAXI,NA,
PEUGEOT EGG (S1)-LS,PEUGEOT,EGG,BLEU COPERNIC,NA,
PEUGEOT EJK (S1)-LS,PEUGEOT,EJK,ROUGE AVIS,NA,
PEUGEOT EJX (S4)-LS,PEUGEOT,EJX,ROUGE FURIO,NA,
PEUGEOT EWB (S1)-LS,PEUGEOT,EWB,BLANC CORFOU,NA,
PEUGEOT ENM (S1)-LS,PEUGEOT,ENM,ROSSO SPEED,NA,
PEUGEOT KLD (S1)-LS,PEUGEOT,KLD,BLEU DAVIS,NA,
PEUGEOT EGJ (S1)-LS,PEUGEOT,EGJ,BLEU SANTORIN,NA,
PEUGEOT KNP (S1)-LS,PEUGEOT,KNP,BLEU IMPERIAL,NA,
PEUGEOT EJC (S3)-LS,PEUGEOT,EJC,BORDEAUX NICOLAS,NA,
PEUGEOT KDF (S1)-LS,PEUGEOT,KDF,IVOIRE PAGANINI,NA,
PEUGEOT ENY (S1)-LS,PEUGEOT,ENY,BLEU NAVIRE,NA,
PEUGEOT EQB (S1)-LS,PEUGEOT,EQB,VERT LA REDOUTE,NA,
PEUGEOT ERB (S1)-LS,PEUGEOT,ERB,VERT EAUX ET FORETS,NA,
PEUGEOT EWB (S4)-LS,PEUGEOT,EWB,BLANC CORFOU,NA,
PEUGEOT EWT (S1)-LS,PEUGEOT,EWT,BLANC MEIJE,NA,
PEUGEOT EJZ (S2)-LS,PEUGEOT,EJZ,ROUGE ANDALOU,NA,
PEUGEOT EJX (S1)-LS,PEUGEOT,EJX,ROUGE FURIO,NA,
PEUGEOT EWD (S1)-LS,PEUGEOT,EWD,BLANC VOILE,NA,
PEUGEOT EJZ (S1)-LS,PEUGEOT,EJZ,ROUGE ANDALOU,NA,
MAZDA UC (S1)-LS,MAZDA,UC,CRYSTAL WHITE,NA,
HYUNDAI NW (S3)-LS,HYUNDAI,NW,NOBLE WHITE,NA,
AUDI LB9A (S3)-LS,AUDI,LB9A,CANDYWEISS,NA,
AUDI LB9A (S4)-LS,AUDI,LB9A,CANDYWEISS,NA,
HYUNDAI 3M (S3)-LS,HYUNDAI,3M,VANILLA WHITE,NA,
HYUNDAI NW (S4)-LS,HYUNDAI,NW,NOBLE WHITE,NA,
AUDI L90E (S1)-LS,AUDI,L90E,ALPINWEISS,NA,
AUDI LU1A (S1)-LS,AUDI,LU1A,AMARELO SANGHAI,NA,
AUDI LN1D (S1)-LS,AUDI,LN1D,BAMBUSGELB,NA,
AUDI LY9F (S1)-LS,AUDI,LY9F,BRILLANTWEISS,NA,
AUDI L90B (S1)-LS,AUDI,L90B,ALPINWEISS,NA,
AUDI LH8B (S1)-LS,AUDI,LH8B,ASSUANBRAUN,NA,
AUDI LL1D (S1)-LS,AUDI,LL1D,AMAG BEIGE,NA,
AUDI LY9D (S1)-LS,AUDI,LY9D,ARKTISWEISS,NA,
AUDI LP5G (S1)-LS,AUDI,LP5G,AEG BLAU,NA,
AUDI LF5D (S1)-LS,AUDI,LF5D,ARCTICBLAU,NA,
AUDI LY5D (S1)-LS,AUDI,LY5D,AZURITBLAU,NA,
AUDI LD2A (S1)-LS,AUDI,LD2A,APRICOT,NA,
AUDI LG5A (S1)-LS,AUDI,LG5A,CAMEO BLUE,NA,
AUDI LL1H (S1)-LS,AUDI,LL1H,CHAMPAGNERGELB,NA,
AUDI LN1K (S1)-LS,AUDI,LN1K,CHROMGELB,NA,
AUDI LL1G (S1)-LS,AUDI,LL1G,CAYENNEGELB,NA,
AUDI LI9A (S1)-LS,AUDI,LI9A,BRANCO GEADA,NA,
AUDI LF9S (S1)-LS,AUDI,LF9S,BRILLANTSCHWARZ,NA,
AUDI LE9C (S1)-LS,AUDI,LE9C,CASHMERE WHITE,NA,
AUDI LY1B (S1)-LS,AUDI,LY1B,BRILLANTGELB,NA,
AUDI LY2D (S1)-LS,AUDI,LY2D,DOTTERGELB,NA,
AUDI LN1P (S1)-LS,AUDI,LN1P,DAENISCH POSTGELB,NA,
AUDI LP1L (S1)-LS,AUDI,LP1L,GELB,NA,
AUDI LE7A (S1)-LS,AUDI,LE7A,CINZA MARINE,NA,
AUDI LY3J (S1)-LS,AUDI,LY3J,BRILLANTROT,NA,
AUDI LW3B (S1)-LS,AUDI,LW3B,CORAL RED,NA,
AUDI LP3K (S1)-LS,AUDI,LP3K,COLAROT,NA,
AUDI LW3A (S1)-LS,AUDI,LW3A,CONZEPTROT,NA,
AUDI LP3B (S1)-LS,AUDI,LP3B,COLA ROT,NA,
AUDI LY9E (S1)-LS,AUDI,LY9E,CLASSICWEISS,NA,
AUDI LP6K (S1)-LS,AUDI,LP6K,CLIFFGRUEN,NA,
AUDI LY1M (S1)-LS,AUDI,LY1M,BAHIABEIGE,NA,
AUDI LB3A (S1)-LS,AUDI,LB3A,BORDEAUXROT,NA,
AUDI LH1B (S1)-LS,AUDI,LH1B,BAMBUSGELB,NA,
AUDI LF6B (S1)-LS,AUDI,LF6B,ATLANTIKGRUEN,NA,
AUDI LD5D (S1)-LS,AUDI,LD5D,CHAGALLBLAU,NA,
AUDI LD5C (S1)-LS,AUDI,LD5C,CORNFLOWER BLUE,NA,
AUDI LH5H (S1)-LS,AUDI,LH5H,CORNATBLAU,NA,
AUDI LK5E (S1)-LS,AUDI,LK5E,CAPRIBLAU,NA,
AUDI L1T1 (S1)-LS,AUDI,L1T1,GELB,NA,
AUDI LN1N (S1)-LS,AUDI,LN1N,CURRYGELB,NA,
AUDI LA6C (S1)-LS,AUDI,LA6C,EVER GREEN,NA,
AUDI LR132 (S1)-LS,AUDI,LR132,GINSTERGELB,NA,
AUDI LD1D (S1)-LS,AUDI,LD1D,DOUBLE YELLOW,NA,
AUDI LA5H (S1)-LS,AUDI,LA5H,DEEP OCEAN BLUE,NA,
AUDI LL5T (S1)-LS,AUDI,LL5T,DUNKELBLAU,NA,
AUDI LP5L (S1)-LS,AUDI,LP5L,DARK PETROL,NA,
AUDI LY3N (S1)-LS,AUDI,LY3N,DYNAMITROT,NA,
AUDI LB6C (S1)-LS,AUDI,LB6C,ENGLISCHGRUEN,NA,
AUDI L32 (S1)-LS,AUDI,L32,DUNKELBLAU,NA,
AUDI LY4C (S1)-LS,AUDI,LY4C,BRILLANTVIOLETT,NA,
AUDI LR300 (S1)-LS,AUDI,LR300,FEUERROT,NA,
AUDI LP3G (S1)-LS,AUDI,LP3G,FLASHROT,NA,
AUDI LN1E (S1)-LS,AUDI,LN1E,DUNKELGELB,NA,
AUDI LJ1A (S1)-LS,AUDI,LJ1A,GELB 95,NA,
AUDI LB6D (S1)-LS,AUDI,LB6D,DUNKELGRUEN,NA,
AUDI LF3K (S1)-LS,AUDI,LF3K,CORRIDA ROT,NA,
AUDI LL7E (S1)-LS,AUDI,LL7E,FLANELLGRAU,NA,
AUDI LF6F (S1)-LS,AUDI,LF6F,FRIESENGRUEN,NA,
AUDI LW1M (S1)-LS,AUDI,LW1M,GLAM BEIGE,NA,
AUDI L336 (S1)-LS,AUDI,L336,DEEP BLUE,NA,
AUDI LN1H (S1)-LS,AUDI,LN1H,GELB,NA,
AUDI LA3B (S1)-LS,AUDI,LA3B,GAMBIAROT,NA,
AUDI LL6T (S1)-LS,AUDI,LL6T,FRIESENGRUEN,NA,
AUDI LT6A (S1)-LS,AUDI,LT6A,ESCORIALGRUEN,NA,
AUDI LH6R (S1)-LS,AUDI,LH6R,HIPPIEGRUEN 99,NA,
AUDI LT5B (S1)-LS,AUDI,LT5B,KLM BLAU,NA,
AUDI L1T6 (S1)-LS,AUDI,L1T6,GRUEN,NA,
AUDI LH6T (S1)-LS,AUDI,LH6T,GRUEN,NA,
AUDI LO7Q (S1)-LS,AUDI,LO7Q,HELLELFENBEIN,NA,
AUDI LL6C (S1)-LS,AUDI,LL6C,HEATHGRUEN,NA,
AUDI L75 (S1)-LS,AUDI,L75,HELLBEIGE,NA,
AUDI LH7T (S1)-LS,AUDI,LH7T,GELBGRAU,NA,
AUDI LY9C (S1)-LS,AUDI,LY9C,IBISWEISS,NA,
AUDI LD8A (S1)-LS,AUDI,LD8A,HAVANNABRAUN,NA,
AUDI LB6F (S1)-LS,AUDI,LB6F,DARKCOURTGREEN,NA,
AUDI LT5D (S1)-LS,AUDI,LT5D,HERMESBLAU,NA,
AUDI LP5F (S1)-LS,AUDI,LP5F,DENIM BLUE,NA,
AUDI L68Q (S1)-LS,AUDI,L68Q,DUNKELGRUEN,NA,
AUDI LR6A (S1)-LS,AUDI,LR6A,FANTASIA GRUEN,NA,
AUDI L567 (S1)-LS,AUDI,L567,ELFENBEIN,NA,
AUDI LY1A (S1)-LS,AUDI,LY1A,GINSTER,NA,
AUDI LL6N (S1)-LS,AUDI,LL6N,JAVAGRUEN,NA,
AUDI L2T1 (S1)-LS,AUDI,L2T1,HELLBRAUN,NA,
AUDI LN6H (S1)-LS,AUDI,LN6H,GRUEN,NA,
AUDI LF3G (S1)-LS,AUDI,LF3G,HIMBEERROT,NA,
AUDI LJ5C (S1)-LS,AUDI,LJ5C,GRUENBLAU,NA,
AUDI LF5J (S1)-LS,AUDI,LF5J,HELLBLAU SKY,NA,
AUDI LJ6A (S1)-LS,AUDI,LJ6A,HOLLANDGRUEN,NA,
AUDI LY6H (S1)-LS,AUDI,LY6H,LICHTGRUEN,NA,
AUDI LM1A (S1)-LS,AUDI,LM1A,LEMONGELB,NA,
AUDI LE5B (S1)-LS,AUDI,LE5B,LAGO BLUE,NA,
AUDI LP2C (S1)-LS,AUDI,LP2C,LEUCHTORANGE,NA,
AUDI LA3G (S1)-LS,AUDI,LA3G,KLASSIKROT,NA,
AUDI L345 (S1)-LS,AUDI,L345,LICHTGRAU,NA,
AUDI L20B (S1)-LS,AUDI,L20B,LEUCHTORANGE,NA,
AUDI LL5M (S1)-LS,AUDI,LL5M,INDIENBLAU,NA,
AUDI LF5M (S1)-LS,AUDI,LF5M,LASER BLAU,NA,
AUDI LN1M (S1)-LS,AUDI,LN1M,LEMONGELB,NA,
AUDI LP6M (S1)-LS,AUDI,LP6M,KARIBIKGRUEN,NA,
AUDI LH3T (S1)-LS,AUDI,LH3T,KIRSCHROT,NA,
AUDI LL1E (S1)-LS,AUDI,LL1E,HOLLANDGELB,NA,
AUDI LM3A (S1)-LS,AUDI,LM3A,INDISCHROT,NA,
AUDI LS1L (S1)-LS,AUDI,LS1L,MARFIL YELLOW,NA,
AUDI LY1E (S1)-LS,AUDI,LY1E,MANGOGELB,NA,
AUDI LP5K (S1)-LS,AUDI,LP5K,LIMOGEBLAU,NA,
AUDI LA5E (S1)-LS,AUDI,LA5E,MARITIMBLAU,NA,
AUDI LY3H (S1)-LS,AUDI,LY3H,LASERROT,NA,
AUDI LK3D (S1)-LS,AUDI,LK3D,LOBSTERROT,NA,
AUDI LW2A (S1)-LS,AUDI,LW2A,MALIORANGE,NA,
AUDI LF5C (S1)-LS,AUDI,LF5C,KOENIGSBLAU,NA,
AUDI LG1N (S1)-LS,AUDI,LG1N,LEMONGELB,NA,
AUDI LY2C (S1)-LS,AUDI,LY2C,MANDARIN,NA,
AUDI LD3A (S1)-LS,AUDI,LD3A,MARRONROT,NA,
AUDI LA5B (S1)-LS,AUDI,LA5B,MARINEBLAU,NA,
AUDI LY1F (S1)-LS,AUDI,LY1F,MANIOKGELB,NA,
AUDI LL1L (S1)-LS,AUDI,LL1L,MANILABEIGE,NA,
AUDI LN6C (S1)-LS,AUDI,LN6C,LEMONGRUEN,NA,
AUDI LH3D (S1)-LS,AUDI,LH3D,MARSALAROT,NA,
AUDI LP3H (S1)-LS,AUDI,LP3H,MARSROT,NA,
AUDI LE5T (S1)-LS,AUDI,LE5T,MIDNIGHT BLUE,NA,
AUDI LP7C (S1)-LS,AUDI,LP7C,MOLE GREY,NA,
AUDI L30H (S1)-LS,AUDI,L30H,MONTANAROT,NA,
AUDI LA3A (S1)-LS,AUDI,LA3A,MARSROT,NA,
AUDI LA8A (S1)-LS,AUDI,LA8A,MERIANBRAUN,NA,
AUDI LE6D (S1)-LS,AUDI,LE6D,MOUNTAIN GREEN,NA,
AUDI Q0 (S1)-LS,AUDI,Q0,MOCHA LATTE,NA,
AUDI L37 (S1)-LS,AUDI,L37,MITTELBLAU,NA,
AUDI LP6E (S1)-LS,AUDI,LP6E,RIEDGRUEN,NA,
AUDI LJ1B (S1)-LS,AUDI,LJ1B,RAPSGELB,NA,
AUDI L90D (S1)-LS,AUDI,L90D,PASTELLWEISS,NA,
AUDI LA9A (S1)-LS,AUDI,LA9A,SCHNEEWEISS,NA,
AUDI LT1B (S1)-LS,AUDI,LT1B,SIERRAGELB,NA,
AUDI LG3E (S1)-LS,AUDI,LG3E,ROT,NA,
AUDI LG3L (S1)-LS,AUDI,LG3L,ROT,NA,
AUDI LN1G (S1)-LS,AUDI,LN1G,SARIGELB,NA,
AUDI LK1B (S1)-LS,AUDI,LK1B,NUGGETGELB,NA,
AUDI LF1H (S1)-LS,AUDI,LF1H,PASTELLGELB,NA,
AUDI LK3A (S1)-LS,AUDI,LK3A,PAPRIKAROT,NA,
AUDI L2T3 (S1)-LS,AUDI,L2T3,ROT,NA,
AUDI LF3D (S1)-LS,AUDI,LF3D,ROMANTICROT,NA,
AUDI LA3H (S1)-LS,AUDI,LA3H,SALSA RED,NA,
AUDI LP3A (S1)-LS,AUDI,LP3A,ROT,NA,
AUDI LF3J (S1)-LS,AUDI,LF3J,PAPRIKAROT,NA,
AUDI LF3E (S1)-LS,AUDI,LF3E,RALLYROT,NA,
AUDI LY2H (S1)-LS,AUDI,LY2H,PULSORANGE,NA,
AUDI LD6D (S1)-LS,AUDI,LD6D,PISTAZIENGRUEN,NA,
AUDI LL7D (S1)-LS,AUDI,LL7D,POLARGRAU,NA,
AUDI LR5C (S1)-LS,AUDI,LR5C,POOL BLAU,NA,
